task_id,base,label,retry_rescues,switch_rescues,switch_dom,switch_som,switch_vision
0,dom.a,neither,0,0,,0,0
1,dom.a,switch_only,0,1,,1,0
2,dom.a,switch_only,0,1,,0,1
3,dom.a,neither,0,0,,0,0
6,dom.a,neither,0,0,,0,0
7,dom.a,neither,0,0,,0,0
8,dom.a,neither,0,0,,0,0
9,dom.a,neither,0,0,,0,0
12,dom.a,switch_only,0,1,,1,0
13,dom.a,switch_only,0,1,,1,1
14,dom.a,neither,0,0,,0,0
16,dom.a,both,1,1,,1,1
17,dom.a,switch_only,0,1,,1,0
18,dom.a,neither,0,0,,0,0
19,dom.a,neither,0,0,,0,0
20,dom.a,neither,0,0,,0,0
21,dom.a,neither,0,0,,0,0
22,dom.a,switch_only,0,1,,1,0
25,dom.a,both,1,1,,1,0
26,dom.a,neither,0,0,,0,0
27,dom.a,neither,0,0,,0,0
28,dom.a,neither,0,0,,0,0
29,dom.a,neither,0,0,,0,0
30,dom.a,neither,0,0,,0,0
31,dom.a,neither,0,0,,0,0
32,dom.a,neither,0,0,,0,0
33,dom.a,neither,0,0,,0,0
34,dom.a,neither,0,0,,0,0
35,dom.a,neither,0,0,,0,0
36,dom.a,neither,0,0,,0,0
37,dom.a,neither,0,0,,0,0
38,dom.a,neither,0,0,,0,0
39,dom.a,neither,0,0,,0,0
41,dom.a,neither,0,0,,0,0
42,dom.a,neither,0,0,,0,0
43,dom.a,neither,0,0,,0,0
47,dom.a,neither,0,0,,0,0
49,dom.a,switch_only,0,1,,1,0
50,dom.a,switch_only,0,1,,0,1
51,dom.a,neither,0,0,,0,0
52,dom.a,both,1,1,,1,1
56,dom.a,both,1,1,,1,1
57,dom.a,neither,0,0,,0,0
58,dom.a,switch_only,0,1,,1,0
59,dom.a,neither,0,0,,0,0
64,dom.a,switch_only,0,1,,0,1
65,dom.a,neither,0,0,,0,0
66,dom.a,neither,0,0,,0,0
67,dom.a,neither,0,0,,0,0
68,dom.a,neither,0,0,,0,0
69,dom.a,neither,0,0,,0,0
70,dom.a,neither,0,0,,0,0
71,dom.a,neither,0,0,,0,0
72,dom.a,neither,0,0,,0,0
73,dom.a,neither,0,0,,0,0
74,dom.a,neither,0,0,,0,0
77,dom.a,neither,0,0,,0,0
78,dom.a,switch_only,0,1,,1,0
80,dom.a,neither,0,0,,0,0
81,dom.a,neither,0,0,,0,0
82,dom.a,neither,0,0,,0,0
83,dom.a,switch_only,0,1,,1,1
84,dom.a,neither,0,0,,0,0
85,dom.a,neither,0,0,,0,0
86,dom.a,neither,0,0,,0,0
88,dom.a,neither,0,0,,0,0
89,dom.a,neither,0,0,,0,0
90,dom.a,switch_only,0,1,,0,1
91,dom.a,neither,0,0,,0,0
92,dom.a,neither,0,0,,0,0
93,dom.a,retry_only,1,0,,0,0
95,dom.a,neither,0,0,,0,0
96,dom.a,neither,0,0,,0,0
97,dom.a,switch_only,0,1,,0,1
98,dom.a,neither,0,0,,0,0
99,dom.a,neither,0,0,,0,0
100,dom.a,switch_only,0,1,,1,1
101,dom.a,switch_only,0,1,,1,1
102,dom.a,switch_only,0,1,,1,0
104,dom.a,neither,0,0,,0,0
106,dom.a,switch_only,0,1,,0,1
107,dom.a,neither,0,0,,0,0
108,dom.a,neither,0,0,,0,0
109,dom.a,neither,0,0,,0,0
110,dom.a,both,1,1,,1,1
111,dom.a,switch_only,0,1,,1,1
112,dom.a,switch_only,0,1,,1,1
113,dom.a,neither,0,0,,0,0
114,dom.a,neither,0,0,,0,0
117,dom.a,neither,0,0,,0,0
118,dom.a,switch_only,0,1,,1,1
119,dom.a,neither,0,0,,0,0
120,dom.a,neither,0,0,,0,0
121,dom.a,neither,0,0,,0,0
122,dom.a,neither,0,0,,0,0
123,dom.a,switch_only,0,1,,0,1
124,dom.a,switch_only,0,1,,1,1
125,dom.a,switch_only,0,1,,1,1
127,dom.a,switch_only,0,1,,1,1
128,dom.a,neither,0,0,,0,0
129,dom.a,neither,0,0,,0,0
130,dom.a,switch_only,0,1,,1,1
131,dom.a,switch_only,0,1,,1,1
133,dom.a,neither,0,0,,0,0
134,dom.a,neither,0,0,,0,0
136,dom.a,neither,0,0,,0,0
137,dom.a,both,1,1,,0,1
138,dom.a,neither,0,0,,0,0
141,dom.a,neither,0,0,,0,0
142,dom.a,neither,0,0,,0,0
143,dom.a,neither,0,0,,0,0
144,dom.a,neither,0,0,,0,0
145,dom.a,neither,0,0,,0,0
147,dom.a,switch_only,0,1,,1,0
148,dom.a,switch_only,0,1,,1,0
149,dom.a,switch_only,0,1,,1,0
150,dom.a,neither,0,0,,0,0
153,dom.a,both,1,1,,1,1
154,dom.a,neither,0,0,,0,0
155,dom.a,neither,0,0,,0,0
156,dom.a,neither,0,0,,0,0
157,dom.a,neither,0,0,,0,0
158,dom.a,neither,0,0,,0,0
159,dom.a,neither,0,0,,0,0
160,dom.a,switch_only,0,1,,1,1
161,dom.a,switch_only,0,1,,1,1
162,dom.a,neither,0,0,,0,0
163,dom.a,switch_only,0,1,,0,1
165,dom.a,switch_only,0,1,,1,1
166,dom.a,switch_only,0,1,,1,1
168,dom.a,neither,0,0,,0,0
169,dom.a,neither,0,0,,0,0
171,dom.a,switch_only,0,1,,1,0
172,dom.a,neither,0,0,,0,0
173,dom.a,switch_only,0,1,,1,1
174,dom.a,both,1,1,,1,1
175,dom.a,neither,0,0,,0,0
